Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"[clr.dll]","10.384","3.188",96.26,29.55,
"[clrjit.dll]","3.309","1.821",30.67,16.88,
"[wow64win.dll]","1.770","1.288",16.41,11.94,
"[GdiPlus.dll]",871,395,8.07,3.66,
"[ntdll.dll]","10.490",395,97.24,3.66,
"[ntdll.dll]","2.108",394,19.54,3.65,
"[mscorlib.ni.dll]","6.579",369,60.98,3.42,
"[wow64cpu.dll]","2.111",300,19.57,2.78,
"[wow64.dll]","2.108",133,19.54,1.23,
"[msvcr120_clr0400.dll]",144,129,1.33,1.20,
"[System.Windows.Forms.ni.dll]","9/464",119,87.73,1.10,
"[msvcrt.dll]",98,95,0.91,0.88,
"[user32.dll]","9.417",76,87.29,0.70,
"[System.Drawing.ni.dll]","1.017",61,9.43,0.57,
"[glu32.dll]",105,39,0.97,0.36,
"[nvd3dum.dll]",74,35,0.69,0.32,
"[kernel32.dll]","10.344",27,95.88,0.25,
"[gdi32.dll]",577,24,5.35,0.22,
"[System.ni.dll]",374,22,3.47,0.20,
"DevExpress.Utils.Win.Hook.HookManager.WndHook",497,19,4.61,0.18,
"DevExpress.LookAndFeel.UserLookAndFeel.GetLookAndFeel",34,18,0.32,0.17,
"[KernelBase.dll]",247,17,2.29,0.16,
"DevExpress.XtraCharts.Native.AxisIntervalMapping.GetInterimPoint",56,14,0.52,0.13,
"[combase.dll]",552,13,5.12,0.12,
"DevExpress.LookAndFeel.UserLookAndFeel.get_Default",13,13,0.12,0.12,
"[nvd3dum.dll]",60,12,0.56,0.11,
"[System.Data.ni.dll]",32,12,0.30,0.11,
"D3D.Vector2d.ToVector2",16,12,0.15,0.11,
"D3D.Vector3d.Length",14,11,0.13,0.10,
"[DWrite.dll]",13,10,0.12,0.09,
"DevExpress.Charts.Native.AggregationPointFilter.GetAxisXData",19,10,0.18,0.09,
"DevExpress.Map.Native.SphericalMercatorProjectionCore.GetMapUnit",31,10,0.29,0.09,
"DevExpress.Utils.DXCollectionBase`1[System.__Canon].get_Count",11,10,0.10,0.09,
"DevExpress.XtraBars.MessageFilter.BarManagerHook.DevExpress.Utils.Win.Hook.IHookController.InternalPreFilterMessage",105,10,0.97,0.09,
"DevExpress.XtraCharts.SeriesBase.get_Chart",19,10,0.18,0.09,
"DevExpress.XtraCharts.SeriesBase.get_Owner",10,10,0.09,0.09,
"[WindowsCodecs.dll]",14,9,0.13,0.08,
"DevExpress.Charts.Native.AggregationPointFilter.GetMeasureUnit",56,9,0.52,0.08,
"DevExpress.Charts.Native.DateTimeUtilsExt.Floor",9,9,0.08,0.08,
"DevExpress.Utils.Win.Hook.HookManager.InternalPreFilterMessage",363,9,3.36,0.08,
"DevExpress.XtraMap.Drawing.DirectX.D3DMath.CalcBisectrix",41,9,0.38,0.08,
"[tiptsf.dll]",226,8,2.09,0.07,
"DevExpress.XtraCharts.Native.AxisIntervalLayoutMapping.GetClampedCoord",33,8,0.31,0.07,
"DevExpress.XtraCharts.Native.SeriesDataBindingUtils.GetDataSource",22,8,0.20,0.07,
"DevExpress.XtraCharts.SeriesBase.get_ActualArgumentScaleType",44,8,0.41,0.07,
"[uxtheme.dll]",537,7,4.98,0.06,
"D3D.Vector2d.get_X",7,7,0.06,0.06,
"DevExpress.Utils.Text.TextOutDraw.GetTextWidth",7,7,0.06,0.06,
"DevExpress.XtraBars.MessageFilter.BarManagerHook.get_Manager",7,7,0.06,0.06,
"DevExpress.XtraBars.MessageFilter.BarManagerHook.InternalPreFilterMessage",70,7,0.65,0.06,
"DevExpress.XtraCharts.Native.AxisMappingBase.GetInterimPoint",66,7,0.61,0.06,
"DevExpress.XtraCharts.Native.MathUtils.StrongRound",8,7,0.07,0.06,
"DevExpress.XtraCharts.SeriesBase.get_ArgumentScaleType",7,7,0.06,0.06,
"DevExpress.XtraMap.CoordPointCollection.get_Item",8,7,0.07,0.06,
"[oleacc.dll]",151,6,1.40,0.06,
"DevExpress.ApplicationUI.Demos.DataHelper.Random",9,6,0.08,0.06,
"DevExpress.Charts.Native.AxisCoordCalculator.GetClampedCoord",14,6,0.13,0.06,
"DevExpress.Charts.Native.RefinedSeries.get_ArgumentScaleType",52,6,0.48,0.06,
"DevExpress.LookAndFeel.UserLookAndFeel.get_ActiveLookAndFeel",40,6,0.37,0.06,
"DevExpress.Utils.AppearanceObject.get_Options",7,6,0.06,0.06,
"DevExpress.Utils.Win.Hook.HookManager.GetCurrentThreadId",13,6,0.12,0.06,
"DevExpress.Utils.Win.Hook.HookManager.InternalPostFilterMessage",28,6,0.26,0.06,
"DevExpress.XtraCharts.ChartElement.Assign",6,6,0.06,0.06,
"DevExpress.XtraLayout.Customization.UserCustomization.LongPressControlHookController.InternalPreFilterMessage",48,6,0.44,0.06,
